Match_Date,Tournament_ID,Tier,Type,Team_1,Team_2,Winner,Team_1_ID,Team_2_ID,Team_1_Scout_1,Team_1_Scout_2,Team_1_Soldier_1,Team_1_Soldier_2,Team_1_Demo,Team_1_Medic,Team_2_Scout_1,Team_2_Scout_2,Team_2_Soldier_1,Team_2_Soldier_2,Team_2_Demo,Team_2_Medic
"(2008, 05, 25)",ESL_Major_2,A,playoff,The Last Resort,Team Pandemic,2,ESL_Major_2_The Last Resort,ESL_Major_2_Team Pandemic,Beta,wai,Wlv,RuneSky,BOOMting,AcidReniX,oPlaiD,carnage,Hubris,Reptile,alexwut,TheFragile
"(2008, 05, 27)",ESL_Major_2,A,playoff,4kings,Clan United,1,ESL_Major_2_4kings,ESL_Major_2_Clan United,bybben,Abomination,Te0k,masiina,ryb,mick,Jambo,humis,Moose,ReVe,H4wk,dashing
"(2008, 06, 01)",ESL_Major_2,A,playoff,4kings,Team Empire,1,ESL_Major_2_4kings,ESL_Major_2_Team Empire,bybben,Abomination,Te0k,masiina,ryb,mick,KondoR,apathy,dronos,Crass,n/a,whitebrozer
"(2008, 06, 05)",ESL_Major_2,A,playoff,Team Empire,Fracture,1,ESL_Major_2_Team Empire,ESL_Major_2_Fracture,KondoR,apathy,dronos,Crass,n/a,whitebrozer,n/a,n/a,n/a,n/a,n/a,n/a
"(2008, 06, 22)",ESL_Major_2,A,playoff,Excello,Team Pandemic,1,ESL_Major_2_Excello,ESL_Major_2_Team Pandemic,fette,appe,sommie,weqo,russi,Glufse,oPlaiD,carnage,Hubris,Reptile,alexwut,TheFragile
"(2008, 06, 24)",ESL_Major_2,A,playoff,fracture,Clan United,2,ESL_Major_2_fracture,ESL_Major_2_Clan United,n/a,n/a,n/a,n/a,n/a,n/a,Jambo,humis,Moose,ReVe,H4wk,dashing
"(2008, 07, 06)",ESL_Major_2,A,playoff,4kings,Excello,1,ESL_Major_2_4kings,ESL_Major_2_Excello,bybben,Abomination,Te0k,masiina,ryb,mick,fette,appe,sommie,weqo,russi,Glufse
"(2008, 07, 06)",ESL_Major_2,A,playoff,team pandemic,Clan United,1,ESL_Major_2_team pandemic,ESL_Major_2_Clan United,oPlaiD,carnage,Hubris,Reptile,alexwut,TheFragile,Jambo,humis,Moose,ReVe,H4wk,dashing
"(2008, 07, 13)",ESL_Major_2,A,playoff,Excello,team pandemic,2,ESL_Major_2_Excello,ESL_Major_2_team pandemic,fette,appe,sommie,weqo,russi,Glufse,oPlaiD,carnage,Hubris,Reptile,alexwut,TheFragile
"(2008, 07, 27)",ESL_Major_2,A,playoff,4kings,team pandemic,1,ESL_Major_2_4kings,ESL_Major_2_team pandemic,bybben,Abomination,Te0k,masiina,ryb,mick,oPlaiD,carnage,Hubris,Reptile,alexwut,TheFragile
"(2009, 01, 18)",ESL_Major_3,A,playoff,Crack Clan,redLine,1,ESL_Major_3_Crack Clan,ESL_Major_3_redLine,Glufse,Jambo,Moose,Punpu,hymzi,kyynel,AnAkkk,CaptainHax,SlutOnFire,Tsu,heliana,ZppZ
"(2009, 01, 18)",ESL_Major_3,A,playoff,Team Druidz,clan00.de,1,ESL_Major_3_Team Druidz,ESL_Major_3_clan00.de,Matt,AppZ,dr.Justice,Springer,SKiNNie,boomeh,GeX,Inqui,aves,bpf,pbL,rts
